id;eventId;trainingModuleId;responsibleId
1099;2;4;188
1100;2;5;188
1101;2;1;244
1102;2;2;244
1103;2;3;244
1104;2;4;244
1105;2;5;244
1106;2;1;72
1107;2;2;72
1108;2;3;72
1109;2;4;72
1110;2;5;72
1111;2;1;184
1112;2;2;184
1113;2;3;184
1114;2;4;184
1115;2;5;184
1116;2;1;73
1117;2;2;73
1118;2;3;73
1119;2;4;73
1120;2;5;73
1121;2;1;245
1122;2;2;245
1123;2;3;245
1124;2;4;245
1125;2;5;245
1126;2;1;182
1127;2;2;182
1128;2;3;182
1129;2;4;182
1130;2;5;182
1131;2;1;74
1132;2;2;74
1133;2;3;74
1134;2;4;74
1135;2;5;74
1136;2;1;246
1137;2;2;246
1138;2;3;246
1139;2;4;246
1140;2;5;246
1141;2;1;289
1142;2;2;289
1143;2;3;289
1144;2;4;289
1145;2;5;289
1146;2;1;75
1147;2;2;75
1148;2;3;75
1149;2;4;75
1150;2;5;75
1151;2;1;181
1152;2;2;181
1153;2;3;181
1154;2;4;181
1155;2;5;181
1156;2;1;76
1157;2;2;76
1158;2;3;76
1159;2;4;76
1160;2;5;76
1161;2;1;250
1162;2;2;250
1163;2;3;250
1164;2;4;250
1165;2;5;250
1166;2;1;179
1167;2;2;179
1168;2;3;179
1169;2;4;179
1170;2;5;179
1171;2;1;77
1172;2;2;77
1173;2;3;77
1174;2;4;77
1175;2;5;77
1176;2;1;253
1177;2;2;253
1178;2;3;253
1179;2;4;253
1180;2;5;253
1181;2;1;178
1182;2;2;178
1183;2;3;178
1184;2;4;178
1185;2;5;178
1186;2;1;78
1187;2;2;78
1188;2;3;78
1189;2;4;78
1190;2;5;78
1191;2;1;254
1192;2;2;254
1193;2;3;254
1194;2;4;254
1195;2;5;254
1196;2;1;174
1197;2;2;174
1198;2;3;174
1199;2;4;174
1200;2;5;174
1201;2;1;79
1202;2;2;79
1203;2;3;79
1204;2;4;79
1205;2;5;79
1206;2;1;282
1207;2;2;282
1208;2;3;282
1209;2;4;282
1210;2;5;282
1211;2;1;80
1212;2;2;80
1213;2;3;80
1214;2;4;80
1215;2;5;80
1216;2;1;255
1217;2;2;255
1218;2;3;255
1219;2;4;255
1220;2;5;255
1221;2;1;81
1222;2;2;81
1223;2;3;81
1224;2;4;81
1225;2;5;81
1226;2;1;173
1227;2;2;173
1228;2;3;173
1229;2;4;173
1230;2;5;173
1231;2;1;256
1232;2;2;256
1233;2;3;256
1234;2;4;256
1235;2;5;256
1236;2;1;82
1237;2;2;82
1238;2;3;82
1239;2;4;82
1240;2;5;82
1241;2;1;172
1242;2;2;172
1243;2;3;172
1244;2;4;172
1245;2;5;172
1246;2;1;257
1247;2;2;257
1248;2;3;257
1249;2;4;257
1250;2;5;257
1251;2;1;83
1252;2;2;83
1253;2;3;83
1254;2;4;83
1255;2;5;83
1256;2;1;170
1257;2;2;170
1258;2;3;170
1259;2;4;170
1260;2;5;170
1261;2;1;258
1262;2;2;258
1263;2;3;258
1264;2;4;258
1265;2;5;258
1266;2;1;85
1267;2;2;85
1268;2;3;85
1269;2;4;85
1270;2;5;85
1271;2;1;169
1272;2;2;169
1273;2;3;169
1274;2;4;169
1275;2;5;169
1276;2;1;137
1277;2;2;137
1278;2;3;137
1279;2;4;137
1280;2;5;137
1281;2;1;87
1282;2;2;87
1283;2;3;87
1284;2;4;87
1285;2;5;87
1286;2;1;259
1287;2;2;259
1288;2;3;259
1289;2;4;259
1290;2;5;259
1291;2;1;88
1292;2;2;88
1293;2;3;88
1294;2;4;88
1295;2;5;88
1296;2;1;167
1297;2;2;167
1298;2;3;167
1299;2;4;167
1300;2;5;167
1301;2;1;89
1302;2;2;89
1303;2;3;89
1304;2;4;89
1305;2;5;89
1306;2;1;261
1307;2;2;261
1308;2;3;261
1309;2;4;261
1310;2;5;261
1311;2;1;166
1312;2;2;166
1313;2;3;166
