eventId;personRoleId;checkIn;checkOut;status;comment;justificationUrl;coordenates;modality;createdAt;updatedAt;createdBy;updatedBy
333;155;2025-10-28 19:47:45.57;2025-11-04 15:00:47.064;PRESENTE;"";"";13.8187076,-89.1393287;Presencial;2025-10-28 19:47:45.57;2025-11-04 15:00:47.065;155;155
333;2685;2025-10-28 19:47:45.574;2025-11-04 15:00:47.064;PRESENTE;"";"";13.8187076,-89.1393287;Presencial;2025-10-28 19:47:45.575;2025-11-04 15:00:47.065;155;155
491;160;2025-11-04 18:09:34.79;2025-11-05 17:21:14.611;PRESENTE;"";"";13.444302,-88.750452;Presencial;2025-11-04 18:09:34.791;2025-11-05 17:21:14.612;160;160
489;3533;2025-10-28 15:21:45.304;2025-11-06 16:20:34.931;PRESENTE;"";"";13.7049019,-89.1455958;Presencial;2025-10-28 15:21:45.308;2025-11-06 16:20:34.932;200;200
491;4544;2025-11-04 18:09:34.797;2025-11-05 17:21:14.611;PRESENTE;"";"";13.444302,-88.750452;Presencial;2025-11-04 18:09:34.797;2025-11-05 17:21:14.612;160;160
444;14;2025-11-03 16:12:16.237;2025-11-06 17:56:49.335;PRESENTE;"";"";13.7708383,-90.0996133;Presencial;2025-11-03 16:12:16.237;2025-11-06 17:56:49.336;14;14
484;196;2025-10-28 14:21:11.676;2025-11-05 15:30:29.374;PRESENTE;"";"";14.0262946,-89.785379;Presencial;2025-10-28 14:21:11.677;2025-11-05 15:30:29.375;196;196
397;956;2025-10-31 13:58:14.547;2025-11-07 18:00:15.2;PRESENTE;"";"";13.5948614,-87.9431957;Presencial;2025-10-31 13:58:14.547;2025-11-07 18:00:15.201;73;73
778;1403;2025-10-31 14:18:56.296;2025-11-04 16:31:22.674;PRESENTE;"";"";13.731695,-88.80067;Presencial;2025-10-31 14:18:56.296;2025-11-04 16:31:22.676;278;278
493;203;2025-10-31 13:39:37.675;2025-11-06 16:30:12.035;PRESENTE;"";"";14.0970867,-89.0158667;Presencial;2025-10-31 13:39:37.676;2025-11-06 16:30:12.036;203;203
569;290;2025-10-28 15:28:04.308;2025-10-31 18:21:26.112;PRESENTE;"";"";13.6873509,-88.9506906;Presencial;2025-10-28 15:28:04.308;2025-10-31 18:21:26.113;290;290
580;3966;2025-11-05 17:23:14.508;2025-11-06 18:23:14.123;PRESENTE;"";"";13.8012377,-89.1767005;Presencial;2025-11-05 17:23:14.509;2025-11-06 18:23:14.124;126;126
580;2929;2025-11-05 17:23:14.521;2025-11-06 18:23:14.123;PRESENTE;"";"";13.8012377,-89.1767005;Presencial;2025-11-05 17:23:14.522;2025-11-06 18:23:14.124;126;126
324;142;2025-10-28 17:06:34.777;2025-11-03 17:37:02.366;PRESENTE;"";"";14.0426435,-89.6158125;Presencial;2025-10-28 17:06:34.778;2025-11-03 17:37:02.367;142;142
570;132;2025-10-30 17:03:50.554;2025-11-03 23:23:17;PRESENTE;"";"";13.7521844,-88.8679495;Presencial;2025-10-30 17:03:50.555;2025-11-03 23:23:17.001;132;132
307;120;2025-10-31 13:07:59.223;2025-11-06 16:01:37.715;PRESENTE;"";"";13.7256611,-89.7135361;Presencial;2025-10-31 13:07:59.224;2025-11-06 16:01:37.716;120;120
1257;84;2025-11-10 19:07:59.156;2025-11-10 19:08:28.482;PRESENTE;"";"";13.97876748727954,-89.56493175361733;Presencial;2025-11-10 19:07:59.156;2025-11-10 19:08:28.483;84;84
569;1040;2025-10-28 15:28:04.312;2025-10-31 18:21:26.112;PRESENTE;"";"";13.6873509,-88.9506906;Presencial;2025-10-28 15:28:04.313;2025-10-31 18:21:26.113;290;290
454;4;2025-10-29 13:38:45.983;2025-11-06 15:45:46.419;PRESENTE;"";"";13.8013283,-89.3555012;Presencial;2025-10-29 13:38:45.984;2025-11-06 15:45:46.42;4;4
304;118;2025-10-28 20:42:31.277;2025-10-31 15:06:17.796;PRESENTE;"";"";13.48108,-88.1944518;Presencial;2025-10-28 20:42:31.278;2025-10-31 15:06:17.797;118;118
304;4708;2025-10-28 20:42:31.281;2025-10-31 15:06:17.796;PRESENTE;"";"";13.48108,-88.1944518;Presencial;2025-10-28 20:42:31.283;2025-10-31 15:06:17.797;118;118
493;1608;2025-10-31 13:39:37.679;2025-11-06 16:30:12.035;PRESENTE;"";"";14.0970867,-89.0158667;Presencial;2025-10-31 13:39:37.679;2025-11-06 16:30:12.036;203;203
1257;588;2025-11-10 19:07:59.162;2025-11-10 19:08:28.482;PRESENTE;"";"";13.97876748727954,-89.56493175361733;Presencial;2025-11-10 19:07:59.163;2025-11-10 19:08:28.483;84;84
484;1348;2025-10-28 14:21:11.681;2025-11-05 15:30:29.374;PRESENTE;"";"";14.0262946,-89.785379;Presencial;2025-10-28 14:21:11.681;2025-11-05 15:30:29.375;196;196
520;227;2025-10-27 22:18:22.515;2025-10-29 17:06:47.766;PRESENTE;"";"";13.7395314,-88.975684;Virtual;2025-10-27 22:18:22.516;2025-10-29 17:06:47.767;227;227
520;1896;2025-10-27 22:18:22.52;2025-10-29 17:06:47.766;PRESENTE;"";"";13.7395314,-88.975684;Virtual;2025-10-27 22:18:22.521;2025-10-29 17:06:47.767;227;227
154;2331;2025-11-05 15:09:45.87;2025-11-07 16:50:46.837;PRESENTE;"";"";14.331331756463454,-89.1767322521545;Presencial;2025-11-05 15:09:45.871;2025-11-07 16:50:46.837;32;32
352;3229;2025-10-29 15:04:25.958;2025-11-06 21:07:25.201;PRESENTE;"";"";13.5094125,-88.9727397;Presencial;2025-10-29 15:04:25.959;2025-11-06 21:07:25.202;296;296
352;494;2025-10-29 15:59:21.572;2025-11-06 21:07:25.201;PRESENTE;"";"";13.5154799,-88.9804366;Presencial;2025-10-29 15:59:21.573;2025-11-06 21:07:25.202;296;296
302;3827;2025-10-28 16:05:49.878;2025-11-07 15:35:18.13;PRESENTE;"";"";13.713408,-89.21088;Presencial;2025-10-28 16:05:49.879;2025-11-07 15:35:18.131;115;115
324;4188;2025-10-28 17:06:34.781;2025-11-03 17:37:02.366;PRESENTE;"";"";14.0426435,-89.6158125;Presencial;2025-10-28 17:06:34.782;2025-11-03 17:37:02.367;142;142
336;256;2025-10-29 14:36:13.738;2025-11-06 15:48:23.544;PRESENTE;"";"";13.5308067,-88.3112916;Presencial;2025-10-29 14:36:13.739;2025-11-06 15:48:23.544;256;256
524;232;2025-10-28 15:31:17.737;2025-11-08 03:09:08.802;PRESENTE;"";"";14.1344122,-88.9652798;Presencial;2025-10-28 15:31:17.738;2025-11-08 03:09:08.802;232;232
513;220;2025-10-28 20:37:40.832;2025-11-06 21:22:36.305;PRESENTE;"";"";13.682487292101976,-89.18378766974787;Presencial;2025-10-28 20:37:40.833;2025-11-06 21:22:36.306;220;220
367;2125;2025-10-29 18:27:28.589;2025-11-05 17:00:07.454;PRESENTE;"";"";14.0517409,-88.9513196;Presencial;2025-10-29 18:27:28.589;2025-11-05 17:00:07.455;102;102
307;3297;2025-10-31 13:07:59.227;2025-11-06 16:01:37.715;PRESENTE;"";"";13.7256611,-89.7135361;Presencial;2025-10-31 13:07:59.227;2025-11-06 16:01:37.716;120;120
610;112;2025-10-29 16:38:32.857;2025-10-29 20:13:01.839;PRESENTE;"";"";13.8340505,-89.2771087;Presencial;2025-10-29 16:38:32.858;2025-10-29 20:13:01.84;112;112
610;1754;2025-10-29 16:38:32.862;2025-10-29 20:13:01.839;PRESENTE;"";"";13.8340505,-89.2771087;Presencial;2025-10-29 16:38:32.862;2025-10-29 20:13:01.84;112;112
239;2218;2025-11-06 16:05:09.786;2025-11-07 13:45:33.297;PRESENTE;"";"";13.7081853,-89.2216867;Presencial;2025-11-06 16:05:09.786;2025-11-07 13:45:33.298;178;178
331;153;2025-10-30 14:52:02.958;2025-11-05 18:31:31.387;PRESENTE;"";"";13.7174092,-88.2880929;Presencial;2025-10-30 14:52:02.959;2025-11-05 18:31:31.388;153;153
